StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
87351,Dialog,SMITH,"You recognize this drow as Rizolvir, the drow smith from the Seer's rebel camp. He gives you a grin and says, ""I didn't expect to see you down here, <FullName>. Welcome to the Hells.""","당신은 이 드로우가 선견자의 반군 진영 출신 대장장이 리졸비르임을 알아봅니다. 그가 활짝 웃으며 말합니다, ""이곳에서 당신을 볼 줄은 몰랐네, <FullName>. 지옥에 온 걸 환영해.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,x2_smithforgex,,,,0,0
87352,Dialog,SMITH,"""I was killed during the siege of Lith My'athar. Not sure why I ended up here, exactly... maybe the Eighth Hell just needed a good weapon smith.""","""리스 마이아사 공성전에서 죽었어. 왜 여기로 오게 됐는지는 잘 모르겠네... 아마 여덟 번째 지옥에 좋은 무기 대장장이가 필요했던 걸지도.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,nw_d1_talktime,,,,0,0
87353,Dialog,SMITH,"""It's not so bad. I've been able to rebuild my forge, drawing heat from down here below the ice. I've already crafted enough items to restock my inventory and, while business is slow, it's better than nothing.""","""그렇게 나쁘지 않아. 얼음 아래서 열을 끌어와 대장간을 다시 지을 수 있었거든. 이미 재고를 채울 만큼 물건을 만들었고, 장사는 느리지만 안 하는 것보단 낫지.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87354,Dialog,SMITH,"""The clientele are a bit different: devils and githzerai instead of drow. But other than that, the more things change, the more they stay the same. At the heart of it, I'm still selling and upgrading weapons.""","""손님층이 좀 다르긴 해: 드로우 대신 마귀와 기스제라이지. 하지만 그것 말고는, 많이 변해도 결국 똑같아. 본질적으로, 난 여전히 무기를 팔고 강화하고 있으니까.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87355,Dialog,SMITH,"""Back again, <FullName>? You here to check out my inventory? Or do you want me to upgrade your weapon? Or is there something else?""","""또 왔군, <FullName>? 내 재고를 보러 왔어? 아니면 무기 강화를 원해? 아니면 다른 일이야?""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87356,Dialog,SMITH,"This drow smith looks up from his forge, his face streaked with sweat and soot. ""You're that surfacer the Seer's been waiting for, aren't you? I wondered how long until you wandered over my way.""","이 드로우 대장장이가 대장간에서 고개를 들며, 땀과 그을음이 묻은 얼굴을 드러냅니다. ""너 선견자가 기다리던 지상인이지? 언제쯤 이쪽으로 올까 궁금했어.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87357,Dialog,SMITH,"""My name's Rizolvir, master craftsman and weapon smith extraordinare. And you're <FullName>, right? Pleased to meet you.""","""내 이름은 리졸비르, 뛰어난 명장이자 무기 대장장이지. 그리고 넌 <FullName>이지? 만나서 반가워.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87358,Dialog,SMITH,"""If there's anything you need, I'm here to help. Feel free to look over my inventory. Or, if you want, I can upgrade your weapon for you.""","""필요한 게 있으면 도와줄게. 내 재고를 마음대로 둘러봐. 원하면 무기도 강화해줄 수 있어.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,nw_d1_talktime,,,,0,0
87359,Dialog,SMITH,"""Goodbye, <FullName>. If you ever want to buy or upgrade any weapons, you know where to find me.""","""잘 가, <FullName>. 무기를 사거나 강화하고 싶으면 어디서 날 찾을 수 있는지 알지.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
87360,Dialog,SMITH,"""Goodbye and good luck, <FullName>. We're counting on you.""","""잘 가고 행운을 빌어, <FullName>. 다들 널 믿고 있어.""",HX_SMITH|HX_SMITH_CONV|X2_SMITH,,,,,0,0
