Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
berdel,dlg,EntryList/0/Text,0,-1,"Oh, you be back! What can I, Ber Delanion, do for you good <master/mistress>? Is this a sign that the evil mistress, she who whips and beats me, maybe, she be dead?",
berdel,dlg,EntryList/1/Text,0,-1,"Oh, please do. I am very nervous and am near to being a wreck, I am.",
berdel,dlg,EntryList/10/Text,0,-1,"She is in the cave to the west of here, she is indeed.",
berdel,dlg,EntryList/11/Text,0,-1,"Oh, what can you be wanting now?",
berdel,dlg,EntryList/12/Text,0,-1,"Oh, sad goodbye.",
berdel,dlg,EntryList/13/Text,0,-1,"Eeep! Oh, please don't kill me. Oh no, I am not your enemy, no I am not. I will be a help to you, just please do not kill me.",
berdel,dlg,EntryList/14/Text,0,-1,Eeek! Then me fight you if me must!,
berdel,dlg,EntryList/15/Text,0,-1,"Oh, thank you kind <master/mistress>. I would most assuredly flee this place; I would indeed, except that I fear the mistress.",
berdel,dlg,EntryList/16/Text,0,-1,"She would draw pictures on my body and carve my flesh as a sacrifice to her terrible Spider Goddess; oh, she surely would, I am certain! Would you be able to help me, maybe, kind <master/mistress>?",
berdel,dlg,EntryList/17/Text,0,-1,"Oh, sad is this day, oh, yes, it is sad indeed.",
berdel,dlg,EntryList/18/Text,0,-1,"Mistress has magic ability to find me; oh for certain, and so I need for you, strong, mighty one, to find and kill her, yes I do.",
berdel,dlg,EntryList/19/Text,0,-1,"She has key, key that you might need to find the little boy that I am thinking you are finding, yes?",
berdel,dlg,EntryList/2/Text,0,-1,"Oh that is so terrific. You are best hero ever, I do say so, indeed I do. Now I tell you what I know, I will.",
berdel,dlg,EntryList/20/Text,0,-1,"Oh, I was sure you here to save the child, I did think so, yes.",
berdel,dlg,EntryList/21/Text,0,-1,"I will tell you about the poor child after you kill mistress, oh yes I will.",
berdel,dlg,EntryList/22/Text,0,-1,"Oh, that is wonderful news, yes it is. Go quick into the next cavern and there she will be for you to kill. Bring me back the key to know she is dead.",
berdel,dlg,EntryList/23/Text,0,-1,Best of luck I wish you.,
berdel,dlg,EntryList/24/Text,0,-1,"Oh, I do not have any gold, oh no. The mistress does not let me have gold, she doesn't. I have only information that I can pay you with.",
berdel,dlg,EntryList/25/Text,0,-1,"Oh <sir/madam>, I am Ber Delanion, of the Delanion svirfneblin clan. I am the slave of a very mean drow; oh yes, I certainly am.",
berdel,dlg,EntryList/26/Text,0,-1,"Oh, it would be a joy to help someone who won't tie me with chains and flay the skin from my body, oh, yes it would.",
berdel,dlg,EntryList/27/Text,0,-1,"Oh, oh, oh, I would trade one cruelty for another would I? I should think not. I should think I will stay with cruelty known, I will.",
berdel,dlg,EntryList/28/Text,0,-1,"She is terrible, cruel mistress, she is, she is. She has Spider Goddess to follow, but she also follows Bessada Ne'Phaz.",
berdel,dlg,EntryList/29/Text,0,-1,"You not know Lloth? She be big, mean, nasty drow goddess. Me not like her, no not one little bit, I do not! Bessada is her priestess and a powerful one she is, yes indeed, she certainly is.",
berdel,dlg,EntryList/3/Text,0,-1,"Bessada Ne'Phaz was powerful cleric of Lloth, evil Spider Goddess. The other day she comes to the house of my mistress while I am serving her.",
berdel,dlg,EntryList/30/Text,0,-1,"Bessada is the one who tells everyone else what to do, surely she is!",
