StrRef,Flags,SoundRef,VolumeVariance,PitchVariance,SoundLength
3000,7,P_FemaJ034,0,0,0.0
3230,7,vs_fdruggf_attk,0,0,0.0
3231,7,vs_fdruggf_bat1,0,0,0.0
3232,7,vs_fdruggf_bat2,0,0,0.0
3233,7,vs_fdruggf_bat3,0,0,0.0
3234,7,vs_fdruggf_heal,0,0,0.0
3235,7,vs_fdruggf_help,0,0,0.0
3236,7,vs_fdruggf_enmy,0,0,0.0
3237,7,vs_fdruggf_flee,0,0,0.0
3238,7,vs_fdruggf_tant,0,0,0.0
3239,7,vs_fdruggf_gard,0,0,0.0
3240,7,vs_fdruggf_hold,0,0,0.0
3241,7,vs_fdruggf_dyin,0,0,0.0
3242,7,vs_fdruggf_sick,0,0,0.0
3243,7,vs_fdruggf_spel,0,0,0.0
3244,7,vs_fdruggf_inff,0,0,0.0
3245,7,vs_fdruggf_foll,0,0,0.0
3246,7,vs_fdruggf_look,0,0,0.0
3247,7,vs_fdruggf_grup,0,0,0.0
3248,7,vs_fdruggf_move,0,0,0.0
3249,7,vs_fdruggf_pick,0,0,0.0
3250,7,vs_fdruggf_srch,0,0,0.0
3251,7,vs_fdruggf_hide,0,0,0.0
3252,7,vs_fdruggf_can,0,0,0.0
3253,7,vs_fdruggf_cant,0,0,0.0
3254,7,vs_fdruggf_done,0,0,0.0
3255,7,vs_fdruggf_encm,0,0,0.0
3256,7,vs_fdruggf_slct,0,0,0.0
3257,7,vs_fdruggf_hi,0,0,0.0
3258,7,vs_fdruggf_yes,0,0,0.0
3259,7,vs_fdruggf_no,0,0,0.0
3260,7,vs_fdruggf_stop,0,0,0.0
3261,7,vs_fdruggf_rest,0,0,0.0
3262,7,vs_fdruggf_bore,0,0,0.0
3263,7,vs_fdruggf_bye,0,0,0.0
3264,7,vs_fdruggf_thnx,0,0,0.0
3265,7,vs_fdruggf_haha,0,0,0.0
3266,7,vs_fdruggf_cuss,0,0,0.0
3267,7,vs_fdruggf_vict,0,0,0.0
3268,7,vs_fdruggf_say,0,0,0.0
3269,7,vs_fdruggf_good,0,0,0.0
3270,7,vs_fdruggf_bad,0,0,0.0
3271,7,vs_fdruggf_warn,0,0,0.0
3272,7,vs_fdumbm_attk,0,0,0.0
3273,7,vs_fdumbm_bat1,0,0,0.0
3274,7,vs_fdumbm_bat2,0,0,0.0
3275,7,vs_fdumbm_bat3,0,0,0.0
3276,7,vs_fdumbm_heal,0,0,0.0
3277,7,vs_fdumbm_help,0,0,0.0
3278,7,vs_fdumbm_enmy,0,0,0.0
3279,7,vs_fdumbm_flee,0,0,0.0
3280,7,vs_fdumbm_tant,0,0,0.0
3281,7,vs_fdumbm_gard,0,0,0.0
3282,7,vs_fdumbm_hold,0,0,0.0
3283,7,vs_fdumbm_dyin,0,0,0.0
3284,7,vs_fdumbm_sick,0,0,0.0
3285,7,vs_fdumbm_spel,0,0,0.0
3286,7,vs_fdumbm_inff,0,0,0.0
3287,7,vs_fdumbm_foll,0,0,0.0
3288,7,vs_fdumbm_look,0,0,0.0
3289,7,vs_fdumbm_grup,0,0,0.0
3290,7,vs_fdumbm_move,0,0,0.0
3291,7,vs_fdumbm_pick,0,0,0.0
3292,7,vs_fdumbm_srch,0,0,0.0
3293,7,vs_fdumbm_hide,0,0,0.0
3294,7,vs_fdumbm_can,0,0,0.0
3295,7,vs_fdumbm_cant,0,0,0.0
3296,7,vs_fdumbm_done,0,0,0.0
3297,7,vs_fdumbm_encm,0,0,0.0
3298,7,vs_fdumbm_slct,0,0,0.0
3299,7,vs_fdumbm_hi,0,0,0.0
3300,7,vs_fdumbm_yes,0,0,0.0
3301,7,vs_fdumbm_no,0,0,0.0
3302,7,vs_fdumbm_stop,0,0,0.0
3303,7,vs_fdumbm_rest,0,0,0.0
3304,7,vs_fdumbm_bore,0,0,0.0
3305,7,vs_fdumbm_bye,0,0,0.0
3306,7,vs_fdumbm_thnx,0,0,0.0
3307,7,vs_fdumbm_cuss,0,0,0.0
3308,7,vs_fdumbm_vict,0,0,0.0
3309,7,vs_fdumbm_say,0,0,0.0
3310,7,vs_fdumbm_good,0,0,0.0
3311,7,vs_fdumbm_bad,0,0,0.0
3312,7,vs_fdumbm_warn,0,0,0.0
3313,7,vs_ffeistm_attk,0,0,0.0
3314,7,vs_ffeistm_bat1,0,0,0.0
3315,7,vs_ffeistm_bat2,0,0,0.0
3316,7,vs_ffeistm_bat3,0,0,0.0
3317,7,vs_ffeistm_heal,0,0,0.0
3318,7,vs_ffeistm_help,0,0,0.0
3319,7,vs_ffeistm_enmy,0,0,0.0
3320,7,vs_ffeistm_flee,0,0,0.0
3321,7,vs_ffeistm_tant,0,0,0.0
3322,7,vs_ffeistm_gard,0,0,0.0
3323,7,vs_ffeistm_hold,0,0,0.0
3324,7,vs_ffeistm_dyin,0,0,0.0
3325,7,vs_ffeistm_sick,0,0,0.0
3326,7,vs_ffeistm_spel,0,0,0.0
3327,7,vs_ffeistm_inff,0,0,0.0
3328,7,vs_ffeistm_foll,0,0,0.0
3329,7,vs_ffeistm_look,0,0,0.0
3330,7,vs_ffeistm_grup,0,0,0.0
3331,7,vs_ffeistm_move,0,0,0.0
3332,7,vs_ffeistm_pick,0,0,0.0
3333,7,vs_ffeistm_srch,0,0,0.0
3334,7,vs_ffeistm_hide,0,0,0.0
3335,7,vs_ffeistm_can,0,0,0.0
3336,7,vs_ffeistm_cant,0,0,0.0
3337,7,vs_ffeistm_done,0,0,0.0
3338,7,vs_ffeistm_encm,0,0,0.0
3339,7,vs_ffeistm_slct,0,0,0.0
3340,7,vs_ffeistm_hi,0,0,0.0
3341,7,vs_ffeistm_yes,0,0,0.0
3342,7,vs_ffeistm_no,0,0,0.0
3343,7,vs_ffeistm_stop,0,0,0.0
3344,7,vs_ffeistm_rest,0,0,0.0
3345,7,vs_ffeistm_bye,0,0,0.0
3346,7,vs_ffeistm_thnx,0,0,0.0
3347,7,vs_ffeistm_cuss,0,0,0.0
3348,7,vs_ffeistm_vict,0,0,0.0
3349,7,vs_ffeistm_say,0,0,0.0
3350,7,vs_ffeistm_good,0,0,0.0
3351,7,vs_ffeistm_bad,0,0,0.0
3352,7,vs_ffeistm_warn,0,0,0.0
3353,7,vs_fhuskyf_attk,0,0,0.0
3354,7,vs_fhuskyf_bat1,0,0,0.0
3355,7,vs_fhuskyf_bat2,0,0,0.0
3356,7,vs_fhuskyf_bat3,0,0,0.0
3357,7,vs_fhuskyf_heal,0,0,0.0
